degree-program,current-semester,hours-study-per-day-average,hours-per-day-use-mobile phone,GPA-current/previous-semester,expected-GPA-this-course/semester,hours-sleep-per-night,average-class-attendance,hours-per-day-use-social-media-apps,use-mobile-during-study-sessions,preferred-study-time,primary-study-method,revise-within-24-hours-after-class,start–preparing-exams,academic-stress-level,motivation-level,procrastinate
BS AI,5,5.1,1.5,0.0,3.26,6.8,95.3,2.3,Sometimes,Late night,Video lectures,Always,1 week before,5,1,Sometimes
BS Data Science,3,1.5,2.4,2.29,3.26,6.3,80.7,1.2,Always,Late night,Group study,Never,Throughout the semester,5,1,Sometimes
BS AI,3,1.6,4.5,3.09,3.72,5.8,92.4,2.3,Sometimes,Late night,Video lectures,Sometimes,1 week before,4,1,No
BS Computer Science,1,1.5,1.5,3.51,3.75,6.2,92.0,0.5,Rarely,Morning,Mixed,Sometimes,Throughout the semester,2,4,Sometimes
DPT,5,1.6,2.1,2.01,3.32,6.7,84.1,3.4,Rarely,Evening,Mixed,Sometimes,Last day,5,1,Yes
BS Accounting & finance,3,5.5,3.5,1.78,3.25,12.7,78.9,2.5,Sometimes,Late night,Mixed,Rarely,2–3 days before,5,2,Sometimes
BS Data Science,6,2.0,3.6,1.67,3.24,5.4,76.9,4.5,Often,Evening,Mixed,Never,Last day,4,1,Yes
BS Data Science,4,1.5,3.7,4.0,3.38,2.5,67.8,2.8,Never,Morning,Mixed,Never,1 week before,5,1,No
BS Software Engineering,5,1.5,4.5,3.37,3.75,6.1,84.4,4.5,Sometimes,Late night,Mixed,Sometimes,1 week before,5,3,Sometimes
BS Data Science,5,1.9,3.7,2.8,3.63,6.2,89.2,3.1,Sometimes,Morning,Mixed,Sometimes,2–3 days before,4,5,Yes
BS Software Engineering,6,1.5,3.6,3.46,2.47,5.3,87.8,4.3,Sometimes,Evening,Mixed,Sometimes,1 week before,4,1,Yes
BS Data Science,6,1.6,4.4,0.72,3.23,6.1,93.5,2.2,Sometimes,Morning,Group study,Rarely,1 week before,3,1,No
BS Data Science,5,1.5,3.8,3.28,3.75,6.1,92.0,3.9,Rarely,Morning,Mixed,Rarely,2–3 days before,5,5,Sometimes
BS Accounting & finance,4,5.5,2.1,0.0,2.37,11.7,78.1,2.1,Sometimes,Late night,Mixed,Always,Throughout the semester,5,1,Sometimes
BS Data Science,4,2.0,1.5,2.05,2.25,12.8,74.3,3.5,Rarely,Morning,Mixed,Rarely,Throughout the semester,4,1,Yes
BS Data Science,5,1.5,3.8,3.89,3.75,6.5,83.1,4.5,Sometimes,Late night,Mixed,Rarely,1 week before,3,5,Sometimes
BS Data Science,5,4.6,4.4,3.29,3.18,6.6,72.1,1.9,Sometimes,Morning,Mixed,Sometimes,Last day,4,1,Yes
BS Data Science,1,1.5,3.7,4.0,3.39,5.6,88.1,3.3,Often,Evening,Reading notes,Sometimes,1 week before,1,5,Yes
